bib_number,first_name,last_name,age,gender,city,state,country,overall_rank,finish_time,status,checkpoint_name,distance_miles,elapsed_time,split_time,rank_at_checkpoint
43,finn,melanson,33,M,Salt Lake City,UT,USA,,,Finished,Mile 1,1.0,,9:54,
43,finn,melanson,33,M,Salt Lake City,UT,USA,,,Finished,Mile 2,2.0,,8:37,
43,finn,melanson,33,M,Salt Lake City,UT,USA,,,Finished,Mile 3,3.0,,8:50,
43,finn,melanson,33,M,Salt Lake City,UT,USA,,,Finished,Mile 4,4.0,,12:07,
43,finn,melanson,33,M,Salt Lake City,UT,USA,,,Finished,Mile 5,5.0,,8:10,
43,finn,melanson,33,M,Salt Lake City,UT,USA,,,Finished,Mile 6,6.0,,8:40,
43,finn,melanson,33,M,Salt Lake City,UT,USA,,,Finished,Mile 7,7.0,,12:35,
43,finn,melanson,33,M,Salt Lake City,UT,USA,,,Finished,Mile 8,8.0,,11:11,
43,finn,melanson,33,M,Salt Lake City,UT,USA,,,Finished,Mile 9,9.0,,9:11,
43,finn,melanson,33,M,Salt Lake City,UT,USA,,,Finished,Mile 10,10.0,,9:52,
43,finn,melanson,33,M,Salt Lake City,UT,USA,,,Finished,Mile 11,11.0,,10:55,
43,finn,melanson,33,M,Salt Lake City,UT,USA,,,Finished,Mile 12,12.0,,13:13,
43,finn,melanson,33,M,Salt Lake City,UT,USA,,,Finished,Mile 13,13.0,,11:56,
43,finn,melanson,33,M,Salt Lake City,UT,USA,,,Finished,Mile 14,14.0,,12:22,
43,finn,melanson,33,M,Salt Lake City,UT,USA,,,Finished,Mile 15,15.0,,13:43,
43,finn,melanson,33,M,Salt Lake City,UT,USA,,,Finished,Mile 16,16.0,,16:19,
43,finn,melanson,33,M,Salt Lake City,UT,USA,,,Finished,Mile 17,17.0,,14:49,
43,finn,melanson,33,M,Salt Lake City,UT,USA,,,Finished,Mile 18,18.0,,11:15,
43,finn,melanson,33,M,Salt Lake City,UT,USA,,,Finished,Mile 19,19.0,,12:52,
43,finn,melanson,33,M,Salt Lake City,UT,USA,,,Finished,Mile 20,20.0,,14:44,
43,finn,melanson,33,M,Salt Lake City,UT,USA,,,Finished,Mile 21,21.0,,15:17,
43,finn,melanson,33,M,Salt Lake City,UT,USA,,,Finished,Mile 22,22.0,,14:42,
43,finn,melanson,33,M,Salt Lake City,UT,USA,,,Finished,Mile 23,23.0,,17:10,
43,finn,melanson,33,M,Salt Lake City,UT,USA,,,Finished,Mile 24,24.0,,12:01,
43,finn,melanson,33,M,Salt Lake City,UT,USA,,,Finished,Mile 25,25.0,,16:54,
43,finn,melanson,33,M,Salt Lake City,UT,USA,,,Finished,Mile 26,26.0,,14:30,
43,finn,melanson,33,M,Salt Lake City,UT,USA,,,Finished,Mile 27,27.0,,14:50,
43,finn,melanson,33,M,Salt Lake City,UT,USA,,,Finished,Mile 28,28.0,,13:54,
43,finn,melanson,33,M,Salt Lake City,UT,USA,,,Finished,Mile 29,29.0,,16:38,
43,finn,melanson,33,M,Salt Lake City,UT,USA,,,Finished,Mile 30,30.0,,20:34,
43,finn,melanson,33,M,Salt Lake City,UT,USA,,,Finished,Mile 31,31.0,,16:47,
43,finn,melanson,33,M,Salt Lake City,UT,USA,,,Finished,Mile 32,32.0,,13:19,
43,finn,melanson,33,M,Salt Lake City,UT,USA,,,Finished,Mile 33,33.0,,9:43,
43,finn,melanson,33,M,Salt Lake City,UT,USA,,,Finished,Mile 34,34.0,,7:55,
43,finn,melanson,33,M,Salt Lake City,UT,USA,,,Finished,Mile 35,35.0,,7:55,
43,finn,melanson,33,M,Salt Lake City,UT,USA,,,Finished,Mile 36,36.0,,22:22,
43,finn,melanson,33,M,Salt Lake City,UT,USA,,,Finished,Mile 37,37.0,,12:29,
43,finn,melanson,33,M,Salt Lake City,UT,USA,,,Finished,Mile 38,38.0,,15:02,
43,finn,melanson,33,M,Salt Lake City,UT,USA,,,Finished,Mile 39,39.0,,15:24,
43,finn,melanson,33,M,Salt Lake City,UT,USA,,,Finished,Mile 40,40.0,,11:29,
43,finn,melanson,33,M,Salt Lake City,UT,USA,,,Finished,Mile 41,41.0,,11:37,
43,finn,melanson,33,M,Salt Lake City,UT,USA,,,Finished,Mile 42,42.0,,10:21,
43,finn,melanson,33,M,Salt Lake City,UT,USA,,,Finished,Mile 43,43.0,,9:11,
43,finn,melanson,33,M,Salt Lake City,UT,USA,,,Finished,Mile 44,44.0,,9:32,
43,finn,melanson,33,M,Salt Lake City,UT,USA,,,Finished,Mile 45,45.0,,10:33,
43,finn,melanson,33,M,Salt Lake City,UT,USA,,,Finished,Mile 46,46.0,,10:48,
43,finn,melanson,33,M,Salt Lake City,UT,USA,,,Finished,Mile 47,47.0,,10:04,
43,finn,melanson,33,M,Salt Lake City,UT,USA,,,Finished,Mile 48,48.0,,9:48,
43,finn,melanson,33,M,Salt Lake City,UT,USA,,,Finished,Mile 49,49.0,,13:01,
43,finn,melanson,33,M,Salt Lake City,UT,USA,,,Finished,Mile 50,50.0,,12:49,
43,finn,melanson,33,M,Salt Lake City,UT,USA,,,Finished,Mile 51,51.0,,10:36,
43,finn,melanson,33,M,Salt Lake City,UT,USA,,,Finished,Mile 52,52.0,,18:21,
43,finn,melanson,33,M,Salt Lake City,UT,USA,,,Finished,Mile 53,53.0,,12:06,
43,finn,melanson,33,M,Salt Lake City,UT,USA,,,Finished,Mile 54,54.0,,12:55,
43,finn,melanson,33,M,Salt Lake City,UT,USA,,,Finished,Mile 55,55.0,,13:49,
43,finn,melanson,33,M,Salt Lake City,UT,USA,,,Finished,Mile 56,56.0,,14:17,
43,finn,melanson,33,M,Salt Lake City,UT,USA,,,Finished,Mile 57,57.0,,13:56,
43,finn,melanson,33,M,Salt Lake City,UT,USA,,,Finished,Mile 58,58.0,,18:36,
43,finn,melanson,33,M,Salt Lake City,UT,USA,,,Finished,Mile 59,59.0,,17:26,
43,finn,melanson,33,M,Salt Lake City,UT,USA,,,Finished,Mile 60,60.0,,16:49,
43,finn,melanson,33,M,Salt Lake City,UT,USA,,,Finished,Mile 61,61.0,,12:41,
43,finn,melanson,33,M,Salt Lake City,UT,USA,,,Finished,Mile 62,62.0,,26:34,
43,finn,melanson,33,M,Salt Lake City,UT,USA,,,Finished,Mile 63,63.0,,11:39,
43,finn,melanson,33,M,Salt Lake City,UT,USA,,,Finished,Mile 64,64.0,,10:04,
43,finn,melanson,33,M,Salt Lake City,UT,USA,,,Finished,Mile 65,65.0,,9:59,
43,finn,melanson,33,M,Salt Lake City,UT,USA,,,Finished,Mile 66,66.0,,12:41,
43,finn,melanson,33,M,Salt Lake City,UT,USA,,,Finished,Mile 67,67.0,,13:30,
43,finn,melanson,33,M,Salt Lake City,UT,USA,,,Finished,Mile 68,68.0,,11:35,
43,finn,melanson,33,M,Salt Lake City,UT,USA,,,Finished,Mile 69,69.0,,18:17,
43,finn,melanson,33,M,Salt Lake City,UT,USA,,,Finished,Mile 70,70.0,,11:10,
43,finn,melanson,33,M,Salt Lake City,UT,USA,,,Finished,Mile 71,71.0,,11:52,
43,finn,melanson,33,M,Salt Lake City,UT,USA,,,Finished,Mile 72,72.0,,10:46,
43,finn,melanson,33,M,Salt Lake City,UT,USA,,,Finished,Mile 73,73.0,,12:12,
43,finn,melanson,33,M,Salt Lake City,UT,USA,,,Finished,Mile 74,74.0,,11:49,
43,finn,melanson,33,M,Salt Lake City,UT,USA,,,Finished,Mile 75,75.0,,12:35,
43,finn,melanson,33,M,Salt Lake City,UT,USA,,,Finished,Mile 76,76.0,,10:47,
43,finn,melanson,33,M,Salt Lake City,UT,USA,,,Finished,Mile 77,77.0,,25:28,
43,finn,melanson,33,M,Salt Lake City,UT,USA,,,Finished,Mile 78,78.0,,11:52,
43,finn,melanson,33,M,Salt Lake City,UT,USA,,,Finished,Mile 79,79.0,,12:10,
43,finn,melanson,33,M,Salt Lake City,UT,USA,,,Finished,Mile 80,80.0,,13:08,
43,finn,melanson,33,M,Salt Lake City,UT,USA,,,Finished,Mile 81,81.0,,11:22,
43,finn,melanson,33,M,Salt Lake City,UT,USA,,,Finished,Mile 82,82.0,,11:51,
43,finn,melanson,33,M,Salt Lake City,UT,USA,,,Finished,Mile 83,83.0,,11:53,
43,finn,melanson,33,M,Salt Lake City,UT,USA,,,Finished,Mile 84,84.0,,13:00,
43,finn,melanson,33,M,Salt Lake City,UT,USA,,,Finished,Mile 85,85.0,,20:38,
43,finn,melanson,33,M,Salt Lake City,UT,USA,,,Finished,Mile 86,86.0,,17:03,
43,finn,melanson,33,M,Salt Lake City,UT,USA,,,Finished,Mile 87,87.0,,12:35,
43,finn,melanson,33,M,Salt Lake City,UT,USA,,,Finished,Mile 88,88.0,,12:57,
43,finn,melanson,33,M,Salt Lake City,UT,USA,,,Finished,Mile 89,89.0,,11:27,
43,finn,melanson,33,M,Salt Lake City,UT,USA,,,Finished,Mile 90,90.0,,11:31,
43,finn,melanson,33,M,Salt Lake City,UT,USA,,,Finished,Mile 91,91.0,,22:33,
43,finn,melanson,33,M,Salt Lake City,UT,USA,,,Finished,Mile 92,92.0,,13:33,
43,finn,melanson,33,M,Salt Lake City,UT,USA,,,Finished,Mile 93,93.0,,11:50,
43,finn,melanson,33,M,Salt Lake City,UT,USA,,,Finished,Mile 94,94.0,,15:32,
43,finn,melanson,33,M,Salt Lake City,UT,USA,,,Finished,Mile 95,95.0,,15:09,
43,finn,melanson,33,M,Salt Lake City,UT,USA,,,Finished,Mile 96,96.0,,66:55,
43,finn,melanson,33,M,Salt Lake City,UT,USA,,,Finished,Mile 97,97.0,,14:27,
43,finn,melanson,33,M,Salt Lake City,UT,USA,,,Finished,Mile 98,98.0,,16:22,
43,finn,melanson,33,M,Salt Lake City,UT,USA,,,Finished,Mile 99,99.0,,17:51,
43,finn,melanson,33,M,Salt Lake City,UT,USA,,,Finished,Mile 100,100.0,,19:12,
43,finn,melanson,33,M,Salt Lake City,UT,USA,,,Finished,Mile 101,101.0,,18:27,
43,finn,melanson,33,M,Salt Lake City,UT,USA,,,Finished,Mile 102,102.0,,18:00,
43,finn,melanson,33,M,Salt Lake City,UT,USA,,,Finished,Mile 103,103.0,,22:10,
43,finn,melanson,33,M,Salt Lake City,UT,USA,,,Finished,Mile 104,104.0,,18:46,
43,finn,melanson,33,M,Salt Lake City,UT,USA,,,Finished,Mile 105,105.0,,24:11,
43,finn,melanson,33,M,Salt Lake City,UT,USA,,,Finished,Mile 106,106.0,,23:54,
43,finn,melanson,33,M,Salt Lake City,UT,USA,,,Finished,Mile 107,107.0,,16:54,
43,finn,melanson,33,M,Salt Lake City,UT,USA,,,Finished,Mile 108,108.0,,59:30,
43,finn,melanson,33,M,Salt Lake City,UT,USA,,,Finished,Mile 109,109.0,,13:19,
43,finn,melanson,33,M,Salt Lake City,UT,USA,,,Finished,Mile 110,110.0,,14:34,
43,finn,melanson,33,M,Salt Lake City,UT,USA,,,Finished,Mile 111,111.0,,15:51,
43,finn,melanson,33,M,Salt Lake City,UT,USA,,,Finished,Mile 112,112.0,,17:04,
43,finn,melanson,33,M,Salt Lake City,UT,USA,,,Finished,Mile 113,113.0,,14:58,
43,finn,melanson,33,M,Salt Lake City,UT,USA,,,Finished,Mile 114,114.0,,15:22,
43,finn,melanson,33,M,Salt Lake City,UT,USA,,,Finished,Mile 115,115.0,,17:12,
43,finn,melanson,33,M,Salt Lake City,UT,USA,,,Finished,Mile 116,116.0,,15:05,
43,finn,melanson,33,M,Salt Lake City,UT,USA,,,Finished,Mile 117,117.0,,15:11,
43,finn,melanson,33,M,Salt Lake City,UT,USA,,,Finished,Mile 118,118.0,,13:15,
43,finn,melanson,33,M,Salt Lake City,UT,USA,,,Finished,Mile 119,119.0,,15:41,
43,finn,melanson,33,M,Salt Lake City,UT,USA,,,Finished,Mile 120,120.0,,14:53,
43,finn,melanson,33,M,Salt Lake City,UT,USA,,,Finished,Mile 121,121.0,,13:45,
43,finn,melanson,33,M,Salt Lake City,UT,USA,,,Finished,Mile 122,122.0,,11:32,
43,finn,melanson,33,M,Salt Lake City,UT,USA,,,Finished,Mile 123,123.0,,12:15,
43,finn,melanson,33,M,Salt Lake City,UT,USA,,,Finished,Mile 124,124.0,,11:34,
43,finn,melanson,33,M,Salt Lake City,UT,USA,,,Finished,Mile 125,125.0,,29:54,
43,finn,melanson,33,M,Salt Lake City,UT,USA,,,Finished,Mile 126,126.0,,11:40,
43,finn,melanson,33,M,Salt Lake City,UT,USA,,,Finished,Mile 127,127.0,,15:22,
43,finn,melanson,33,M,Salt Lake City,UT,USA,,,Finished,Mile 128,128.0,,12:32,
43,finn,melanson,33,M,Salt Lake City,UT,USA,,,Finished,Mile 129,129.0,,11:29,
43,finn,melanson,33,M,Salt Lake City,UT,USA,,,Finished,Mile 130,130.0,,12:12,
43,finn,melanson,33,M,Salt Lake City,UT,USA,,,Finished,Mile 131,131.0,,16:47,
43,finn,melanson,33,M,Salt Lake City,UT,USA,,,Finished,Mile 132,132.0,,13:04,
43,finn,melanson,33,M,Salt Lake City,UT,USA,,,Finished,Mile 133,133.0,,32:03,
43,finn,melanson,33,M,Salt Lake City,UT,USA,,,Finished,Mile 134,134.0,,13:02,
43,finn,melanson,33,M,Salt Lake City,UT,USA,,,Finished,Mile 135,135.0,,14:28,
43,finn,melanson,33,M,Salt Lake City,UT,USA,,,Finished,Mile 136,136.0,,14:17,
43,finn,melanson,33,M,Salt Lake City,UT,USA,,,Finished,Mile 137,137.0,,13:44,
43,finn,melanson,33,M,Salt Lake City,UT,USA,,,Finished,Mile 138,138.0,,13:30,
43,finn,melanson,33,M,Salt Lake City,UT,USA,,,Finished,Mile 139,139.0,,14:49,
43,finn,melanson,33,M,Salt Lake City,UT,USA,,,Finished,Mile 140,140.0,,14:36,
43,finn,melanson,33,M,Salt Lake City,UT,USA,,,Finished,Mile 141,141.0,,14:31,
43,finn,melanson,33,M,Salt Lake City,UT,USA,,,Finished,Mile 142,142.0,,15:25,
43,finn,melanson,33,M,Salt Lake City,UT,USA,,,Finished,Mile 143,143.0,,16:15,
43,finn,melanson,33,M,Salt Lake City,UT,USA,,,Finished,Mile 144,144.0,,14:27,
